,bg_mean,subject,session,scan,bg_size,bg_std,dvars,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,ghost_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality,snr
1284,48.4281927382,sub-70040,session_1,taskswitch,105674,78.6710493338,1.1013925923,0.520945912193,86.5016128365,836.1147615,33590,197.862749921,2.36723865285,2.37585333333,2.5979,2.1492375,0.00969744670209,0.0346999168396,78.238067627,0.0563500986588,0.0,,0.0,0.00310820019231,10.6279853718
1285,50.6378369997,sub-70010,session_1,scap,101833,78.4241597917,1.04021987748,0.555291344837,63.5424149282,722.620749494,37431,177.648985644,2.29260345482,2.30592,2.47952,2.107535,0.0613975037849,0.0475423708558,48.8479728699,0.0896274142138,1.0,,0.342465753425,0.00848897587629,9.21426192405
1286,46.2578979225,sub-70055,session_1,taskswitch,106102,73.2116970813,1.19875134851,0.519927205542,88.2828235011,791.374266216,33162,189.267278061,2.04800691476,2.088809834,2.20361666667,1.86620511123,0.0408549536924,0.0160943232477,54.1534347534,0.0934734858392,0.0,,0.0,0.00794663144231,10.809396555
1287,44.87479554,sub-60084,session_1,bht,105812,70.38352276,1.04363778818,0.520121247534,94.5924130948,790.580926281,33452,184.55133611,2.20449749564,2.18914666667,2.44726333333,1.99973511919,0.0509955355669,0.0251862127334,36.3242225647,0.340132852895,8.0,,10.0,0.0186616760759,11.232471682
1288,59.3709295512,sub-60017,session_1,pamret,100434,88.9043852886,1.03198854822,0.568943991387,60.5669567117,812.171676554,38830,180.518164181,1.9900195695,1.94314,2.18473,1.8563975,0.0463202434729,0.0550432540476,50.9619483948,0.0572671239759,0.0,,0.0,0.00903081932836,9.13533875655
1289,44.6095532512,sub-10501,session_1,stopsignal,110451,73.2823629973,1.08775482225,0.494973283809,85.2059322518,769.676002678,28813,186.383079745,2.18337936714,2.23924333333,2.31494666667,2.007915,0.0115526760298,0.0320323929191,71.4945220947,0.0456450885208,0.0,,0.0,0.00362817065217,10.5028818831
1290,59.8315996192,sub-60046,session_1,bht,102068,84.8879498938,1.12327590392,0.56547355063,57.9666222536,766.960412707,37196,192.312537772,2.24104265924,2.20835,2.42764666667,2.0994075,0.0327304726328,0.0551094003022,46.4251098633,0.188165741305,0.0,,0.0,0.0102055864557,9.03497391168
1291,48.2504315756,sub-10524,session_1,scap,106962,78.1176576113,1.06120542994,0.516305972118,83.8766169987,819.35971648,32302,189.11767093,2.24366234136,2.24322351161,2.41461647477,2.0852175,0.0341399579737,0.0396306402981,51.8133239746,0.0394544645397,0.0,,0.0,0.0109497276289,10.4887901345
1292,45.0493328584,sub-11061,session_1,bart,105454,73.094459295,1.05376559134,0.521228551781,92.7553321262,807.309670274,33810,179.059185612,2.19344015792,2.21469333333,2.37613333333,2.0053625,0.0510768783868,0.0208970978856,54.6811065674,0.0910481189954,2.0,,0.746268656716,0.00801508224719,11.0447450882
1293,63.0247098826,sub-10506,session_1,bht,98533,87.956878823,1.10806701133,0.582999856423,57.0535958604,792.155565115,40731,201.245349198,2.12908395886,2.09926,2.28884,2.00861773945,0.029894597604,0.042403999716,52.152256012,0.171905957588,0.0,,0.0,0.00623604759494,9.00618093451
